desc,solutions
"As time moves, so it creates. The lessons learned, and the ways of fate. I am each one, and yet still more. All you've known, seen and done before. Tell me, what am I?","Memories, information, knowledge, etc"
"Round she is, yet flat as a board. Altar to the lupine lords. Jewel on black velvet, pearl in the sea. Unchanged, yet e'rchanging, eternally.","The moon"
"What's in a forest but does not grow, The Trees know it but it does not show. When asked about it they will let it go, It breathes life into those that know.","The air"
"You can see me in water, but I am never wet. What am I?","Your reflection"
"What is yours, may never be taken, is freely given, and yet others will use more than you?","Your name"
"What goes up a hill faster than it goes down a hill?","Fire"
"How far can you walk into the forest?","Halfway, after that, you're walking out"
"Burning brand of heathen's blood, icy chill when secrets flood. A patch of skin to eyes a pattern, shows parents, child and maybe slattern.","Birthmark"
"When you make a hole in me, I have fewer holes. What am I?","A net"
"The more you take, the more you leave behind.","Footsteps"
"What begins and has no end, and ends all things that begin?","Death"
"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those,  Who think I wile time away,  In lofty things, above all day. The common kind that linger where Monadic beings live and fare;  Practical I may not be, But life, it seems, is full of me! And so adventurer I cry, can you tell me what am I?","A riddler, riddles, etc"
"I cannot be measured until I am done, oh but how you will miss me once I am gone.","Time, Lifespan"
"I welcome the day with a show of light. I came here stealthily in the night. I bathe the earthy stuff at dawn, but by noon - alas, I am gone. Tell me, what am I?","The morning dew"
"Larger than mountains, brightening the sky, twinkling within the owls eye. Dimmer than candles, smaller than peas. Flickers, never caught, in the endless sea.","Stars"
"You will always find me in the past. I can be created in the present, But the future can never taint me. What am I?","Memories"
"The more I dry, the wetter I become","Towel"
"Brothers and sisters, I have none. But that man's father is my father's son. How is that man related to me?","He is my son"
"The maker does not use it, the buyer does not need it, and the owner uses it without knowing. What am i?","A coffin"
"I have not flesh, nor feathers, nor scales, nor bone. Yet I have fingers and thumbs of my own. What am I?","Gloves, ghosts"
"You use a knife to cut up my head, but you weep beside me when I am dead. What am I?","An onion"
"As I set off on the trail, I'm followed by my long tail. I jump each gap, I bridge each gorge, What once was broken, I reforge. Then I return only to find I've left my tail far behind. Tell me, what am I?","A needle"
"A gift vibrant and pungent, depressing or joyous; out in the wild see my fearsome friends dance. In stories it's said we're a breathtaking chorus; always stop and visit when given the chance.","A flower (rose)."
"I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me everyday.","A leg"
"What gets bigger, the more you take out of it?","A pit, a hole, etc"
"You use me to stop, you take me to eat, not only do I stop, I am a stop, and the result of the vandal's first stroke. Tell me, what am I?","A break/A brake"
"What starts with 'e,' ends with 'e,' and contains only one letter?","An envelope"
"Before my birth, master binds me, He'd never seen me, yet always he finds me. Always with him as he grows older, Each of his burdens I'm sworn to shoulder. I cannot escape my fate as a slave, Until my master lies dead in his grave.","A skeleton"
"In a vast feild of cultivated space, I am found there amongst my race. Decapitate me, if you've no objection, and you will find what brings me to perfection. Take one more cut, and you'll plainly see, what I was always destined to be. Tell me, what am I?","Wheat -> heat -> eat"
"The answer I give is yes, but what I mean is no. What was the question?","Do you mind?"
"I wish no harm on your person and I'll lighten your burden. Later when blades rend your flesh and your own steel is dull, will you curse my existence. Tell me, what am I?","a rust monster, MM 262"
"Making mortal privation once firmly in place. An enduring summation etched in my face. Tell me, what am I?","A tombstone"
"I am a word, who's hardly there. Remove my start, and I'm a herbal flair. Tell me, what am I?","Sparsely"
"I appear common yet I am wondrous, I never change in weight but am worth more than my volume in gold. What am I?","bag of holding"
"What can the hand only sow what only the eye can harvest.","Writing, stories, art, etc"
"To keep me, I must be given. If I am not kept, I am broken","Your word or promise"
"I may be a nuisance but commit no crime, but I'll be a part of a murder in time.","a crow"
"The poor have it, the rich need it, and if you eat it you'll die.  What is it?","Nothing"
"Speak my name, and I am broken. Seldom heard, and never spoken.","Silence"
"Iron roof, glass walls, burns and burns but never falls. What am I?","A lantern"
"When imbibed, the body's weak; When consumed, minds fall asleep; When devoured, madness grows; The strangest urges does it show; And yet you call me liquid luck; And still you take cup after cup. What am I?","Alcohol/wine/ale/etc"
"What is that which has one voice and yet becomes four-footed and two-footed and three-footed?","Man"
"There are two sisters: one gives birth to the other and she, in turn, gives birth to the first. Who are the two sisters?","Night and day"
"In marble walls as white as milk, Lined with a skin as soft as silk, Within a fountain crystal clear, A golden apple doth appear; No doors there are to this stronghold, Yet thieves break in and steal the gold.","An egg"
"It turns the world, the globe's workhorse, hoarded with the greatest force. Made by hands of burning fire, truly, I am greed's desire. For I am that which merchants crave; I turn the noblest into knaves. Though born of flame, I am still cold, This rhyme of which you have been told.","Gold/money/coins"
"Whatever we caught, we threw away; whatever we did not catch, we carry.","Lice"
"Each morning I appear to lie at your feet, all day I will follow no matter how fast you run, yet I nearly perish in the midday sun. What am I?","A Shadow"
"One thin, one bold, one sick, one cold. The earth we span, to prey upon man.","The Four Horsemen of the Apocalypse"
"Once I'm used, I am useless. Twice offered, soon rejected. In desperation, oft expressed, but the intended, unprotected. Tell me, what am I?","An alibi, an excuse"
"There are one hundred candles in a room in a line, and a hundred people walk through. The first person lights every candle. The second person extinguishes every second candle. The third person lights or extinguishes every third candle. The fourth, every forth, until all one hundred people have passed down the line. How many candles are lit? Is the __th candle lit?","Only square numbered candles will be lit. 1, 4, 9, 16, etc - therefore there will be 10 candles lit at the end."
"Four hang, four sprang, two point the way, two to ward off dogs, one dangles after, always rather dirty. What am I?","A cow"
"If you had taken me in my youth, haply you would have drunk the blood shed from me; but now that time has finished making me old, eat me, wrinkled as I am, with no moisture in me, crushing my bones together with my flesh.","A raisin"
"There was a green house.  Inside the green house there was a white house.  Inside the white house there was a red house.  Inside the red house there were little black babies.","A watermelon"
"We are little airy creatures, All of different voice and features; One of us in glass is set, One of us you'll find in jet, T'other you may see in tin, And the fourth a box within; If the fifth you should pursue, It can never fly from you.","Vowels"
"I have nothing inside me and everything is inside me, and I grant the use of my virtue to all without charge.","Mirror"
